student_id,score
810,61
1609,72
15,60
134,64
846,77
352,79
1240,76
600,59
1365,63
11,64
333,77
1524,76
216,61
331,74
1670,47
141,75
1668,46
1872,58
744,50
1429,78
696,46
3,62
1604,63
989,45
645,76
1419,48
1500,46
1267,77
1287,63
606,61
1379,74
716,75
88,60
492,73
1723,73
498,81
1943,78
1887,80
228,75
1033,75
1317,46
1527,64
137,60
106,74
28,75
538,57
615,42
1629,61
1381,71
1997,59
1117,77
156,64
545,61
1958,61
1702,57
1623,63
293,46
1467,60
1319,47
527,80
1640,72
1260,64
909,73
511,75
205,63
435,76
1097,43
327,45
1625,76
879,59
845,64
1540,78
730,64
1207,66
1916,75
921,60
602,63
1637,46
1669,46
1283,44
388,46
1367,83
217,44
1529,64
892,74
1701,64
1698,44
1536,80
427,65
1955,47
683,73
456,78
33,80
1784,73
1528,76
1214,59
450,60
905,76
1166,42
265,61
981,56
740,72
955,74
741,77
56,61
689,72
1506,62
1486,63
1944,62
1590,59
1606,45
1526,45
1694,61
1893,69
1718,83
121,61
518,59
1113,62
895,46
1109,46
294,46
477,80
226,80
1082,48
1735,47
578,63
835,47
340,44
1010,76
954,64
679,76
1062,77
1112,62
753,57
1930,61
995,76
475,64
211,80
1479,59
1577,60
678,64
1895,60
868,75
1712,59
669,61
1476,77
35,79
1374,46
1697,75
1989,43
1960,47
1588,63
314,45
1199,44
1067,58
316,42
677,62
725,80
337,76
279,44
1660,77
543,62
1765,80
107,45
79,75
1923,45
1341,77
366,61
553,61
251,40
1761,73
1108,60
1333,64
1389,72
1565,47
1794,62
1831,43
855,80
1993,75
928,59
948,76
1786,61
1138,47
926,42
814,46
188,76
278,75
1654,74
1433,60
1026,60
209,76
387,42
1344,60
253,43
1132,60
18,64
371,77
763,63
1080,64
322,59
1354,46
572,61
1815,50
1790,74
767,57
813,64
1851,47
570,63
218,43
335,63
1924,63
650,64
625,47
688,73
305,46
1678,60
515,48
10,74
39,79
5,63
1935,75
552,62
1135,75
459,46
700,48
1175,58
17,61
1767,43
1005,63
1226,46
1728,77
1868,74
408,76
1845,80
526,80
1439,61
1656,80
568,61
1434,81
373,46
1122,62
1987,46
1126,62
1507,48
861,42
1747,62
1826,57
165,75
1364,72
773,81
1160,60
1961,44
1583,44
1406,79
630,62
328,44
187,76
1971,59
1951,62
658,61
54,63
197,64
1331,64
113,61
411,46
601,60
473,61
1321,56
1969,75
362,62
1931,63
1382,59
950,59
105,43
1234,76
920,61
433,46
586,59
836,75
1927,63
1369,75
1596,46
277,47
1282,73
867,61
1206,62
718,56
75,64
1977,63
1335,63
673,60
363,76
182,64
1553,46
444,75
1086,62
607,61
1019,63
1708,56
1182,59
144,64
329,43
394,74
469,75
1769,45
1543,44
884,64
157,64
1006,41
1627,77
1795,43
1251,80
711,60
1503,61
355,76
1805,78
1576,76
695,60
780,72
873,83
1921,48
1048,46
519,47
1615,62
899,64
292,43
1275,75
274,62
229,63
800,63
738,74
1188,60
437,60
